Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
28/04/2023,1,KAA Gent,KVC Westerlo,3-1
29/04/2023,1,Cercle Brugge,Standard Lieja,0-0
06/05/2023,2,Standard Lieja,KAA Gent,1-2
07/05/2023,2,KVC Westerlo,Cercle Brugge,3-5
13/05/2023,3,Cercle Brugge,KAA Gent,0-4
13/05/2023,3,Standard Lieja,KVC Westerlo,2-2
20/05/2023,4,KVC Westerlo,Standard Lieja,3-0
20/05/2023,4,KAA Gent,Cercle Brugge,2-2
27/05/2023,5,KVC Westerlo,KAA Gent,1-3
27/05/2023,5,Standard Lieja,Cercle Brugge,0-4
03/06/2023,6,Cercle Brugge,KVC Westerlo,2-0
03/06/2023,6,KAA Gent,Standard Lieja,3-1
