Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
09/07/2022,1,Leones FC,Bogotá FC,2-2
09/07/2022,1,Real Santander,Llaneros FC,3-1
09/07/2022,1,Tigres FC,Fortaleza FC,1-0
10/07/2022,1,Atlético Huila,Real Soacha Cundinamarca,3-2
10/07/2022,1,Cúcuta Deportivo,Boca Juniors de Cali,1-2
11/07/2022,1,Orsomarso SC,Deportes Quindío,0-4
13/07/2022,1,Boyacá Chicó,Barranquilla FC,1-0
15/09/2022,1,Atlético FC,Real Cartagena,0-2
16/07/2022,2,Fortaleza FC,Cúcuta Deportivo,2-2
16/07/2022,2,Real Cartagena,Leones FC,0-1
16/07/2022,2,Llaneros FC,Atlético Huila,3-2
17/07/2022,2,Barranquilla FC,Tigres FC,3-0
17/07/2022,2,Deportes Quindío,Real Santander,2-0
17/07/2022,2,Real Soacha Cundinamarca,Boyacá Chicó,0-0
18/07/2022,2,Boca Juniors de Cali,Orsomarso SC,2-1
20/07/2022,2,Bogotá FC,Atlético FC,0-1
22/07/2022,3,Atlético Huila,Real Cartagena,2-3
23/07/2022,3,Orsomarso SC,Real Soacha Cundinamarca,1-1
23/07/2022,3,Real Santander,Fortaleza FC,1-0
24/07/2022,3,Cúcuta Deportivo,Barranquilla FC,0-1
25/07/2022,3,Boyacá Chicó,Boca Juniors de Cali,3-1
25/07/2022,3,Bogotá FC,Deportes Quindío,1-2
26/07/2022,3,Leones FC,Llaneros FC,0-0
18/08/2022,3,Atlético FC,Tigres FC,1-0
29/07/2022,4,Orsomarso SC,Boyacá Chicó,0-0
29/07/2022,4,Real Cartagena,Cúcuta Deportivo,1-2
30/07/2022,4,Real Santander,Atlético FC,0-1
30/07/2022,4,Llaneros FC,Barranquilla FC,1-1
30/07/2022,4,Tigres FC,Leones FC,1-1
31/07/2022,4,Boca Juniors de Cali,Atlético Huila,1-1
01/08/2022,4,Fortaleza FC,Bogotá FC,1-2
01/08/2022,4,Deportes Quindío,Real Soacha Cundinamarca,4-3
04/08/2022,5,Barranquilla FC,Boca Juniors de Cali,1-1
04/08/2022,5,Real Cartagena,Orsomarso SC,0-1
04/08/2022,5,Boyacá Chicó,Tigres FC,2-2
04/08/2022,5,Real Soacha Cundinamarca,Llaneros FC,1-1
04/08/2022,5,Atlético Huila,Fortaleza FC,1-2
05/08/2022,5,Leones FC,Real Santander,1-1
05/08/2022,5,Bogotá FC,Cúcuta Deportivo,2-1
23/09/2022,5,Atlético FC,Deportes Quindío,1-1
07/08/2022,6,Orsomarso SC,Atlético Huila,0-2
07/08/2022,6,Fortaleza FC,Real Cartagena,3-1
08/08/2022,6,Boca Juniors de Cali,Real Soacha Cundinamarca,2-0
08/08/2022,6,Llaneros FC,Atlético FC,1-0
08/08/2022,6,Real Santander,Bogotá FC,2-0
09/08/2022,6,Tigres FC,Deportes Quindío,2-0
09/08/2022,6,Barranquilla FC,Leones FC,3-1
09/08/2022,6,Cúcuta Deportivo,Boyacá Chicó,1-2
13/08/2022,7,Bogotá FC,Barranquilla FC,1-0
13/08/2022,7,Llaneros FC,Boca Juniors de Cali,1-1
13/08/2022,7,Deportes Quindío,Fortaleza FC,1-0
14/08/2022,7,Atlético FC,Orsomarso SC,2-1
14/08/2022,7,Real Soacha Cundinamarca,Tigres FC,1-1
16/08/2022,7,Leones FC,Cúcuta Deportivo,1-1
17/08/2022,7,Atlético Huila,Boyacá Chicó,1-1
17/08/2022,7,Real Cartagena,Real Santander,2-2
20/08/2022,8,Orsomarso SC,Real Santander,0-0
21/08/2022,8,Barranquilla FC,Deportes Quindío,1-1
21/08/2022,8,Fortaleza FC,Atlético FC,2-0
21/08/2022,8,Cúcuta Deportivo,Llaneros FC,0-0
22/08/2022,8,Boca Juniors de Cali,Leones FC,1-1
